               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10481,             0.02892,            0.045666,          0.00070771,             0.16667,           0.0018141,          0.00054424,            0.074285,            0.021564,            0.030334,              0.0973,              0.0003,              0.0003
                   1,            0.094179,            0.030113,            0.044597,           0.0021356,             0.44444,           0.0039682,           0.0014886,            0.063646,            0.022316,            0.029919,            0.093699,          0.00069861,          0.00069861
                   2,            0.080003,            0.029666,            0.042066,           0.0024534,             0.61111,           0.0069862,           0.0011221,            0.049414,            0.022489,            0.029272,            0.090096,           0.0010956,           0.0010956
                   3,            0.081689,             0.03086,            0.041561,           0.0036522,             0.83333,            0.011208,           0.0031733,            0.041451,            0.022307,            0.028186,            0.086491,           0.0014911,           0.0014911
                   4,            0.067047,            0.028464,            0.037489,           0.0043015,                   1,            0.097696,            0.020014,            0.037532,             0.02231,            0.027356,            0.082885,            0.001885,            0.001885
                   5,            0.059949,            0.032027,            0.032191,           0.0041665,                   1,             0.13819,            0.041464,            0.033977,            0.021752,             0.02547,            0.079277,           0.0022772,           0.0022772
                   6,            0.058774,            0.029997,            0.029211,           0.0039899,                   1,             0.14109,            0.059945,            0.031163,            0.021091,            0.023578,            0.075668,           0.0026679,           0.0026679
                   7,            0.057271,            0.030543,            0.027882,           0.0038466,                   1,             0.45919,             0.27267,            0.040831,            0.018685,            0.021655,            0.072057,            0.003057,            0.003057
                   8,            0.052818,              0.0304,            0.028707,           0.0038242,                   1,             0.58553,              0.3918,            0.035596,            0.018122,            0.019775,            0.068445,           0.0034446,           0.0034446
                   9,            0.068741,            0.026083,            0.024557,            0.019469,                   1,             0.64704,             0.43198,            0.042688,            0.016633,            0.019226,            0.064831,           0.0038305,           0.0038305
                  10,            0.057657,            0.026385,             0.02573,             0.45713,             0.75379,             0.69256,             0.27598,            0.041898,            0.016218,            0.018536,            0.061215,           0.0042149,           0.0042149
                  11,            0.049894,            0.023483,            0.022322,             0.32972,               0.602,             0.47745,             0.21997,            0.043625,            0.015242,            0.017615,            0.057598,           0.0045976,           0.0045976
                  12,            0.055727,            0.020136,            0.025377,             0.49969,             0.72222,             0.62996,             0.34355,            0.039332,            0.014189,            0.017139,            0.053979,           0.0049788,           0.0049788
                  13,            0.062515,            0.022974,            0.023204,             0.33778,             0.71128,             0.52812,             0.24275,            0.037957,            0.013801,            0.015936,            0.050358,           0.0053584,           0.0053584
                  14,            0.062598,             0.02133,            0.021479,             0.53697,             0.83333,             0.71622,             0.39891,            0.047097,            0.011518,            0.014096,            0.046736,           0.0057365,           0.0057365
                  15,            0.058666,            0.018741,             0.02617,             0.60588,             0.83333,             0.89544,             0.37423,            0.031665,            0.012038,            0.013315,            0.043113,           0.0061129,           0.0061129
                  16,            0.057667,             0.02141,            0.022283,             0.62019,             0.83333,             0.91194,             0.43511,            0.036719,            0.011101,            0.012845,            0.039488,           0.0064877,           0.0064877
                  17,            0.055256,            0.018657,            0.022628,             0.27536,             0.50028,             0.49956,             0.21862,            0.039128,           0.0099001,            0.011826,            0.035861,            0.006861,            0.006861
                  18,            0.057818,            0.018354,            0.020782,             0.42623,             0.82274,             0.82944,             0.44673,            0.044484,           0.0093551,            0.011572,            0.032233,           0.0072327,           0.0072327
                  19,            0.056254,            0.018796,            0.018005,              0.5969,             0.96113,                0.94,             0.50253,            0.039151,            0.009258,            0.010925,            0.028603,           0.0076028,           0.0076028
                  20,            0.055311,            0.021103,            0.022822,              0.7495,             0.89957,               0.995,             0.41709,            0.048136,           0.0084538,           0.0095398,            0.024971,           0.0079713,           0.0079713
                  21,            0.060198,            0.015944,            0.014821,             0.69934,             0.90508,               0.995,             0.42203,            0.048164,           0.0082269,           0.0096283,            0.021338,           0.0083383,           0.0083383
                  22,            0.053969,            0.018628,            0.017518,             0.24376,                 0.5,             0.45951,             0.14344,            0.049714,           0.0081561,           0.0085052,            0.017704,           0.0087036,           0.0087036
                  23,            0.059092,             0.01458,            0.013189,             0.61846,             0.58802,             0.72967,             0.34332,            0.037848,           0.0084014,           0.0077911,            0.014067,           0.0090674,           0.0090674
                  24,            0.061622,            0.016636,            0.016101,             0.41672,             0.72222,             0.65052,             0.34171,            0.054193,           0.0070539,            0.006601,             0.01043,           0.0094296,           0.0094296
                  25,            0.063892,            0.014408,            0.013845,             0.66529,             0.85769,             0.93944,             0.45183,            0.040609,           0.0071774,           0.0054733,            0.009505,            0.009505,            0.009505
                  26,            0.046944,            0.013543,            0.011358,             0.37674,             0.88889,             0.67498,             0.31151,            0.050082,           0.0072968,           0.0049431,            0.009505,            0.009505,            0.009505
                  27,            0.068222,            0.015645,            0.013383,             0.74137,             0.99093,               0.995,             0.55285,            0.036579,           0.0078661,           0.0047859,           0.0094852,           0.0094852,           0.0094852
                  28,            0.060502,            0.015714,            0.013232,             0.78759,             0.95765,               0.995,             0.48966,            0.032472,           0.0075672,           0.0050842,           0.0094654,           0.0094654,           0.0094654
                  29,            0.052179,            0.014884,            0.012092,             0.43972,             0.73467,             0.77056,             0.39652,            0.051387,           0.0079195,           0.0037735,           0.0094456,           0.0094456,           0.0094456
                  30,            0.066719,            0.016649,            0.011433,             0.69937,             0.83333,             0.93944,             0.58522,            0.030036,           0.0073128,           0.0032936,           0.0094258,           0.0094258,           0.0094258
                  31,            0.052886,            0.020017,           0.0095528,             0.62506,             0.86587,              0.7344,             0.56379,            0.045877,           0.0075123,           0.0029522,            0.009406,            0.009406,            0.009406
                  32,            0.061763,            0.014253,           0.0084716,             0.89535,             0.89066,               0.995,             0.37272,            0.040347,           0.0069339,            0.003022,           0.0093862,           0.0093862,           0.0093862
                  33,            0.047793,            0.012187,              0.0113,             0.61879,             0.68066,             0.75781,             0.48632,            0.048093,           0.0068228,           0.0030479,           0.0093664,           0.0093664,           0.0093664
                  34,            0.061299,            0.011009,            0.008971,             0.73876,               0.975,             0.93944,             0.42447,            0.034786,           0.0069163,           0.0029167,           0.0093466,           0.0093466,           0.0093466
                  35,            0.059946,            0.012691,           0.0084759,             0.51988,             0.83333,             0.86537,             0.46607,            0.040377,           0.0069191,           0.0021538,           0.0093268,           0.0093268,           0.0093268
                  36,            0.049728,             0.01411,           0.0083529,             0.59282,                   1,             0.77361,             0.49311,            0.036182,           0.0068362,           0.0016045,            0.009307,            0.009307,            0.009307
                  37,            0.044945,            0.011388,           0.0067097,             0.69784,             0.98576,             0.91433,             0.52418,            0.033728,           0.0069525,            0.001532,           0.0092872,           0.0092872,           0.0092872
