               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10991,            0.029604,            0.041716,           0.0014714,             0.44444,           0.0016703,          0.00016703,            0.071828,            0.021832,            0.029199,              0.0973,              0.0003,              0.0003
                   1,             0.10031,            0.029904,            0.038714,          0.00050505,             0.33333,           0.0010463,          0.00031388,            0.061071,            0.022032,            0.028589,            0.093699,          0.00069931,          0.00069931
                   2,            0.095236,            0.028688,            0.038082,           0.0013899,                 0.5,           0.0017882,           0.0013298,            0.046956,            0.022663,            0.027722,            0.090098,           0.0010978,           0.0010978
                   3,            0.093912,             0.02912,            0.039273,           0.0020742,             0.61111,           0.0050244,           0.0027393,            0.043031,             0.02181,            0.026782,            0.086496,           0.0014955,           0.0014955
                   4,            0.084904,            0.027244,            0.033385,           0.0035516,             0.88889,            0.010306,           0.0041353,            0.040294,            0.021605,            0.026172,            0.082892,           0.0018925,           0.0018925
                   5,            0.065889,            0.030824,            0.032789,           0.0041039,                   1,            0.025125,           0.0076674,            0.037612,            0.020803,            0.024646,            0.079289,           0.0022886,           0.0022886
                   6,            0.061309,            0.029307,            0.029669,           0.0040147,                   1,            0.079307,            0.030426,            0.032083,            0.020793,            0.023224,            0.075684,            0.002684,            0.002684
                   7,            0.058602,            0.030063,            0.028822,           0.0039598,                   1,            0.088834,            0.038101,            0.039762,            0.018868,            0.021716,            0.072079,           0.0030785,           0.0030785
                   8,             0.05383,            0.029892,            0.031283,            0.067323,                 0.5,             0.30789,             0.14951,            0.034082,            0.018296,            0.020203,            0.068472,           0.0034723,           0.0034723
                   9,            0.058233,            0.026403,            0.026907,             0.72733,             0.11111,             0.15616,            0.074805,            0.036659,            0.017184,            0.019733,            0.064865,           0.0038653,           0.0038653
                  10,            0.053131,            0.026949,            0.027711,              0.5455,             0.38889,             0.35963,             0.17111,            0.039722,            0.015067,            0.018951,            0.061257,           0.0042574,           0.0042574
                  11,            0.050733,            0.023152,            0.023098,             0.11714,             0.46443,             0.36152,             0.12096,            0.046488,            0.014216,            0.018439,            0.057649,           0.0046488,           0.0046488
                  12,            0.053435,            0.020417,            0.025435,             0.34327,             0.71706,             0.52103,             0.18585,            0.039398,             0.01377,            0.017523,            0.054039,           0.0050394,           0.0050394
                  13,            0.060127,            0.022795,            0.024995,             0.31818,             0.66921,             0.52229,             0.25409,            0.039172,            0.013577,            0.016727,            0.050429,           0.0054292,           0.0054292
                  14,            0.062076,            0.021197,            0.021562,             0.15351,             0.83333,             0.35704,             0.13556,             0.04672,            0.012474,            0.015384,            0.046818,           0.0058182,           0.0058182
                  15,            0.062796,            0.018407,            0.029554,            0.074822,             0.44444,             0.25521,            0.089244,            0.042033,            0.012362,            0.014996,            0.043206,           0.0062064,           0.0062064
                  16,            0.065485,            0.020037,            0.025589,             0.16186,             0.88889,             0.50272,             0.22755,            0.049256,            0.011386,             0.01412,            0.039594,           0.0065939,           0.0065939
                  17,            0.055985,            0.018382,            0.025004,             0.17465,                   1,               0.645,             0.26426,            0.046156,            0.010313,            0.013727,            0.035981,           0.0069805,           0.0069805
                  18,            0.059608,            0.018315,            0.022939,             0.50527,                   1,             0.74117,             0.43255,            0.041602,            0.010367,            0.013843,            0.032366,           0.0073663,           0.0073663
                  19,             0.05833,            0.018822,            0.019706,             0.53531,             0.83333,             0.91194,             0.53658,            0.037275,            0.010323,            0.013452,            0.028751,           0.0077514,           0.0077514
                  20,            0.058661,             0.02078,            0.023845,             0.32516,             0.83333,             0.80322,             0.47341,            0.044083,            0.010228,            0.013211,            0.025136,           0.0081357,           0.0081357
                  21,            0.055463,             0.01602,            0.017819,             0.22633,             0.83333,             0.66627,             0.39831,            0.045887,           0.0093272,            0.011337,            0.021519,           0.0085191,           0.0085191
                  22,             0.04944,            0.019819,            0.019145,             0.26697,             0.72222,              0.4814,             0.22187,              0.0495,           0.0082304,            0.011624,            0.017902,           0.0089018,           0.0089018
                  23,            0.060448,            0.014291,            0.015063,             0.79426,             0.33333,             0.52514,             0.14693,            0.048182,           0.0085318,             0.01033,            0.014284,           0.0092837,           0.0092837
                  24,            0.069136,            0.016989,            0.017462,             0.25063,             0.83333,             0.70037,             0.41164,            0.040529,           0.0086863,           0.0087509,            0.010665,           0.0096648,           0.0096648
                  25,            0.055466,            0.017074,            0.014888,             0.39594,                   1,             0.80167,             0.39843,            0.036181,           0.0087092,           0.0079193,           0.0097525,           0.0097525,           0.0097525
                  26,             0.04919,            0.013638,            0.013986,             0.57957,             0.83333,               0.895,              0.4242,            0.034296,           0.0083983,           0.0075089,           0.0097525,           0.0097525,           0.0097525
                  27,            0.056997,            0.017675,            0.013621,              0.4863,             0.72222,             0.72589,             0.33239,            0.042168,           0.0087855,           0.0070465,           0.0097426,           0.0097426,           0.0097426
                  28,            0.062965,            0.015406,             0.01467,             0.47303,             0.83333,             0.91194,             0.38801,            0.044703,           0.0078394,           0.0057426,           0.0097327,           0.0097327,           0.0097327
                  29,            0.053745,             0.01468,             0.01227,             0.44992,             0.72222,             0.78544,             0.29376,            0.040253,           0.0084479,           0.0063354,           0.0097228,           0.0097228,           0.0097228
                  30,            0.062165,            0.017365,            0.011581,             0.27776,             0.58626,             0.49286,             0.21728,            0.043676,           0.0075798,           0.0079239,           0.0097129,           0.0097129,           0.0097129
                  31,            0.059938,             0.01983,             0.01132,              0.3584,             0.83333,             0.66446,             0.36956,              0.0382,           0.0077858,           0.0088013,            0.009703,            0.009703,            0.009703
                  32,            0.053971,            0.015749,             0.01085,             0.80115,             0.63476,               0.907,             0.34213,            0.038417,           0.0071621,            0.010458,           0.0096931,           0.0096931,           0.0096931
                  33,            0.045079,            0.013177,            0.013158,             0.94462,             0.55556,              0.9675,             0.58607,             0.03859,           0.0070057,           0.0078033,           0.0096832,           0.0096832,           0.0096832
                  34,            0.050705,             0.01188,            0.011372,             0.58465,             0.93897,             0.91433,             0.63193,            0.030181,           0.0068312,           0.0045685,           0.0096733,           0.0096733,           0.0096733
                  35,            0.051082,            0.013449,           0.0098361,             0.63654,             0.83333,             0.88444,             0.37572,            0.032485,           0.0064354,           0.0035782,           0.0096634,           0.0096634,           0.0096634
                  36,            0.044168,            0.014302,            0.010638,             0.47804,             0.72222,             0.78856,             0.38621,            0.048676,           0.0074768,            0.003252,           0.0096535,           0.0096535,           0.0096535
                  37,            0.058381,            0.011191,           0.0087368,             0.72466,             0.74934,               0.885,             0.35384,            0.037769,           0.0071945,           0.0025974,           0.0096436,           0.0096436,           0.0096436
                  38,            0.046028,            0.014145,           0.0078854,             0.57697,             0.83333,             0.88417,             0.46675,            0.038332,            0.006937,           0.0021936,           0.0096337,           0.0096337,           0.0096337
                  39,            0.053881,             0.01511,           0.0073648,             0.65992,             0.99092,             0.91194,             0.30043,            0.041194,           0.0068588,           0.0017282,           0.0096238,           0.0096238,           0.0096238
                  40,            0.049553,            0.011543,           0.0055841,             0.57236,             0.99667,             0.88444,             0.36363,            0.032619,           0.0065575,           0.0016808,           0.0096139,           0.0096139,           0.0096139
                  41,            0.046607,            0.011563,           0.0091007,             0.55157,             0.88067,             0.77361,             0.33661,            0.035493,           0.0060387,           0.0017082,            0.009604,            0.009604,            0.009604
                  42,            0.045248,            0.012474,           0.0056902,             0.78515,                   1,             0.93944,             0.52218,            0.031613,           0.0057745,           0.0016571,           0.0095941,           0.0095941,           0.0095941
                  43,            0.044235,            0.013047,           0.0065477,             0.62909,                   1,             0.77361,             0.38595,            0.027601,           0.0059729,           0.0017372,           0.0095842,           0.0095842,           0.0095842
                  44,            0.054195,            0.013848,           0.0075182,             0.81349,             0.92575,               0.995,             0.53707,            0.024241,           0.0064249,           0.0017464,           0.0095743,           0.0095743,           0.0095743
                  45,             0.03904,            0.011472,           0.0054016,             0.70365,                   1,             0.88444,             0.38034,            0.030067,           0.0068197,           0.0015778,           0.0095644,           0.0095644,           0.0095644
                  46,            0.044688,            0.011861,             0.01376,              0.8358,             0.82378,             0.93944,              0.5189,            0.034459,           0.0062904,           0.0015396,           0.0095545,           0.0095545,           0.0095545
                  47,            0.045016,           0.0094112,           0.0093024,             0.92797,             0.98473,               0.995,             0.52979,            0.027458,           0.0061359,           0.0014404,           0.0095446,           0.0095446,           0.0095446
                  48,            0.041317,            0.012117,           0.0045476,              0.5521,                   1,             0.85653,             0.48643,            0.038714,           0.0062551,           0.0014544,           0.0095347,           0.0095347,           0.0095347
                  49,            0.052417,            0.013149,           0.0071882,             0.79069,                   1,               0.995,             0.71503,             0.02405,           0.0054207,           0.0015392,           0.0095248,           0.0095248,           0.0095248
                  50,            0.045035,            0.012292,           0.0085298,             0.79836,                   1,               0.995,             0.60282,            0.030512,           0.0059662,           0.0015842,           0.0095149,           0.0095149,           0.0095149
                  51,            0.042392,             0.01048,           0.0051993,             0.83901,                   1,               0.995,             0.64383,            0.025244,           0.0060616,           0.0015869,            0.009505,            0.009505,            0.009505
                  52,            0.041472,            0.012095,           0.0051232,             0.65288,                   1,              0.9675,              0.6635,             0.02745,           0.0066435,           0.0017063,           0.0094951,           0.0094951,           0.0094951
                  53,            0.038726,            0.011924,            0.006179,               0.875,                   1,               0.995,             0.67459,             0.02773,           0.0063117,           0.0017326,           0.0094852,           0.0094852,           0.0094852
                  54,            0.042206,            0.012718,           0.0089768,             0.62305,                   1,               0.995,              0.6965,            0.024675,           0.0057125,           0.0017012,           0.0094753,           0.0094753,           0.0094753
                  55,            0.035869,            0.010485,           0.0080081,             0.55633,                   1,               0.995,             0.53137,            0.030084,           0.0059376,           0.0016619,           0.0094654,           0.0094654,           0.0094654
                  56,            0.038614,             0.01218,           0.0062264,              0.7472,                   1,               0.995,             0.51191,            0.030769,           0.0056164,           0.0018265,           0.0094555,           0.0094555,           0.0094555
                  57,            0.040143,            0.011259,           0.0051445,             0.83516,                   1,               0.995,             0.66732,            0.020701,           0.0053141,            0.001841,           0.0094456,           0.0094456,           0.0094456
                  58,            0.037361,             0.01236,           0.0073973,             0.84498,                   1,               0.995,             0.67106,            0.025181,           0.0051358,           0.0016924,           0.0094357,           0.0094357,           0.0094357
                  59,            0.039614,            0.012473,           0.0040519,             0.67216,                   1,               0.995,             0.64643,            0.028723,           0.0046828,           0.0014826,           0.0094258,           0.0094258,           0.0094258
                  60,            0.044122,            0.010932,            0.013783,             0.93229,                   1,               0.995,             0.64459,              0.0207,           0.0042832,           0.0015179,           0.0094159,           0.0094159,           0.0094159
                  61,            0.040532,            0.012086,           0.0047256,             0.89521,             0.98712,               0.995,             0.65694,            0.027977,           0.0048239,           0.0014572,            0.009406,            0.009406,            0.009406
                  62,            0.052684,            0.013073,           0.0036759,             0.86049,             0.97261,               0.995,               0.598,            0.023128,           0.0043623,           0.0014355,           0.0093961,           0.0093961,           0.0093961
                  63,            0.041209,            0.011068,           0.0039137,             0.80776,                   1,             0.93944,             0.62873,            0.024681,           0.0044873,           0.0014336,           0.0093862,           0.0093862,           0.0093862
                  64,            0.048563,            0.011433,           0.0034519,             0.84196,              0.9922,               0.995,             0.69168,            0.023655,            0.004308,             0.00147,           0.0093763,           0.0093763,           0.0093763
                  65,            0.045758,            0.013669,           0.0041502,             0.84238,                   1,               0.995,             0.66627,            0.026216,           0.0045168,            0.001532,           0.0093664,           0.0093664,           0.0093664
                  66,            0.047978,             0.01041,           0.0057515,             0.77575,             0.96038,             0.91208,             0.55567,            0.026684,           0.0047212,           0.0015141,           0.0093565,           0.0093565,           0.0093565
                  67,            0.041911,            0.011278,           0.0032413,             0.94712,             0.95158,               0.995,             0.68921,            0.022694,           0.0044315,           0.0016468,           0.0093466,           0.0093466,           0.0093466
                  68,            0.037157,            0.010622,           0.0027051,              0.9214,                   1,               0.995,             0.63035,            0.022763,           0.0047686,           0.0016426,           0.0093367,           0.0093367,           0.0093367
                  69,            0.036437,            0.010484,           0.0041805,             0.88821,                   1,               0.995,             0.64355,            0.024521,           0.0047791,            0.001799,           0.0093268,           0.0093268,           0.0093268
                  70,            0.039604,           0.0098305,            0.003209,             0.79966,             0.88736,             0.85825,             0.69385,            0.023576,           0.0045445,           0.0016422,           0.0093169,           0.0093169,           0.0093169
