               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10946,            0.030293,             0.04717,            0.001265,             0.22222,           0.0014688,          0.00019949,            0.070771,            0.025269,            0.031921,              0.0973,              0.0003,              0.0003
                   1,             0.10082,             0.03032,            0.046129,           0.0012099,             0.22222,           0.0013672,          0.00025003,            0.066152,            0.024471,            0.030591,            0.093699,          0.00069931,          0.00069931
                   2,            0.092932,            0.029054,            0.042691,           0.0022777,             0.38889,           0.0063861,           0.0012199,            0.057759,            0.023926,            0.029199,            0.090098,           0.0010978,           0.0010978
                   3,            0.091988,            0.030238,            0.047622,           0.0039911,             0.83333,            0.010369,           0.0025738,            0.051411,            0.022484,            0.027698,            0.086496,           0.0014955,           0.0014955
                   4,            0.079386,            0.027362,            0.035453,           0.0052816,                   1,             0.01679,           0.0044138,            0.047381,            0.022115,            0.026404,            0.082892,           0.0018925,           0.0018925
                   5,            0.069868,            0.030457,            0.035583,           0.0053679,                   1,             0.03595,            0.011956,            0.042454,             0.02167,            0.024701,            0.079289,           0.0022886,           0.0022886
                   6,            0.070096,            0.028739,            0.034501,            0.005058,                   1,             0.09158,             0.02658,            0.040288,            0.020617,            0.022742,            0.075684,            0.002684,            0.002684
                   7,            0.061424,            0.029976,            0.032157,           0.0048959,                   1,             0.07485,            0.025379,            0.037189,            0.019637,            0.020978,            0.072079,           0.0030785,           0.0030785
                   8,            0.059198,            0.029749,            0.030703,           0.0047273,                   1,             0.31098,              0.1118,             0.03521,            0.018461,            0.019531,            0.068472,           0.0034723,           0.0034723
                   9,            0.060499,            0.027211,            0.027024,           0.0044248,                   1,             0.22654,            0.076433,             0.03241,            0.017565,             0.01897,            0.064865,           0.0038653,           0.0038653
                  10,            0.056204,            0.026873,            0.027939,            0.022588,                   1,             0.17092,            0.078093,            0.042676,            0.015473,            0.017865,            0.061257,           0.0042574,           0.0042574
                  11,            0.053052,            0.023078,            0.024009,             0.51416,             0.44444,              0.5979,             0.10368,             0.04847,            0.013983,            0.016833,            0.057649,           0.0046488,           0.0046488
                  12,            0.057377,            0.019913,            0.025884,             0.14369,             0.44444,              0.2611,             0.13568,            0.038344,             0.01402,            0.015939,            0.054039,           0.0050394,           0.0050394
